N,P,K,pH,Moisture,Temperature,Rainfall,Humidity,Target
166.73666263981258,83.02788072455311,135.82026517100542,6.008904715550139,42.629470676634675,18.260603531158925,622.6343847706756,58.494398574141,Potato
136.38683577204299,63.12542553517099,116.02724714124105,6.667312528408001,33.214414139547735,25.72393090677447,1049.37642812733,62.132392310690335,Mango
136.06670209609817,59.03387303204935,152.88688054358943,6.810071918373941,31.436768778428437,33.24043823412263,1377.0824278653845,56.45753424461751,Mango
265.5269304725449,39.731542284042476,264.1205474816217,8.44629799540787,11.438500758899456,31.2832383227745,277.4561826639545,23.081301724000788,Dates
165.9351113385272,48.0644810326449,169.3083194219947,6.458367185177776,16.04177526658779,31.173652179937324,513.7751602363373,34.42405468645781,Pomegranate
137.70095675014426,33.038381723101104,107.60699632075934,6.944759285669298,14.164728427934248,27.226964243137473,542.6689232018095,38.16135324252535,Fig
164.1139329947581,48.55351568755082,154.0337555246084,6.3231492872493655,11.479824804822595,30.006078904552716,569.120376201055,40.41735515044152,Pomegranate
196.85699912636682,47.83529101228488,181.64444141162508,6.529492984049825,25.02521980095384,19.545940983130503,688.6258516730571,52.943539123021594,Apricot
154.39775830933507,41.929429548148754,216.20809557316593,7.520531227086954,15.343322661197334,27.255147866639756,393.4814219510524,30.791703026612925,Raisins
181.8987461865828,35.98711680317007,228.96356608440414,6.280685394719209,33.04735728303509,16.788960582473408,762.3638462036919,51.295868259542075,Apricot
167.03123300677282,47.92450802360271,166.04499198656518,6.752063300356028,16.660620609793785,31.19952412189053,561.9713962747152,41.54635930558082,Pomegranate
73.87291802752978,85.02306642824448,26.139035162028573,6.335030965118806,63.59249122532054,22.11358550738091,803.5144892763931,73.01875453109083,Cashew
96.74533147526977,56.84996268573265,16.83872096591684,6.069000477922626,54.41679054578388,26.124753694278176,1679.8264011643832,69.53496636644405,Cashew
170.61275327088546,79.41490083534201,121.79221225035595,6.238552963933434,45.33841571073948,21.590311594475182,696.7265603796385,61.880404633179424,Potato
116.64547662234476,82.24734356030642,105.70932313669915,6.6446526914489255,44.6784959215744,24.8597599442793,454.8956345157227,42.77746435476893,Tomato
285.17703964428614,50.37230629930587,268.308369053085,9.74166974333102,7.8000953585884325,36.649035480871575,197.85482535105618,18.52141440564946,Dates
114.73243499095267,68.91389601582297,70.79531577071138,5.817415035854948,39.665178375125684,25.304913486973195,623.6753542361146,66.5649745091882,Brinjal
